"No.","Project","Location","year","month","sample","lat","long","day","hour","location","depth_m","Sampler","volume_L","filter","extractor_analyzer","extraction","primers","machine","analysis"
1,"Tokyo","Shinkiba",2023,8,"SKIBA_8",35.63924,139.83347,"16","8","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
2,"Tokyo","Shinkiba",2023,9,"SKIBA_9",35.63924,139.83347,"21","9","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
3,"Tokyo","Shinkiba",2023,10,"SKIBA_10",35.63924,139.83347,"20","9","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
4,"Tokyo","Shinkiba",2023,11,"SKIBA_11",35.63924,139.83347,"21","9","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
5,"Tokyo","Shinkiba",2023,12,"SKIBA_12",35.63924,139.83347,"21","9","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
6,"Tokyo","Wakasu",2023,8,"Wakasu_8",35.61635,139.83239,"16","9","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
7,"Tokyo","Wakasu",2023,9,"Wakasu_9",35.61635,139.83239,"21","10","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
8,"Tokyo","Wakasu",2023,10,"Wakasu_10",35.61635,139.83239,"20","9","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
9,"Tokyo","Wakasu",2023,11,"Wakasu_11",35.61635,139.83239,"21","10","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
10,"Tokyo","Wakasu",2023,12,"Wakasu_12",35.61635,139.83239,"21","10","no_category",1,"HEYROHT",2,"GF/F","IDEA_IDEA","DNeasy_Blood_and_Tissue_Kit","MiFishU, MiFishU2, MiFishEv2","MiSeq","metabarcoding"
